questions,answers
what date would you check in ma am,december rd please
december rd please,how long do you plan to stay
how long do you plan to stay,days
days,could you give me your name and phone number
could you give me your name and phone number,nancy brown my phone number s nancy brown
nancy brown my phone number s nancy brown,thanks what time will you arrive
thanks what time will you arrive,around pm
no that s it thank you very much,tyler residence
tyler residence,is this naomi
is this naomi,no this is her sister nancy
no this is her sister nancy,you sure sound like naomi
you sure sound like naomi,oh can i take a message
oh can i take a message,sure please tell her that andy called
sure please tell her that andy called,okay i will give her the message
okay i will give her the message,thanks
thanks,bye
you want to send it airmail madam,i do want to send it airmail yes
i see thank you,excuse me where can i buy some cigarettes
by the way where is the men s room,there is one at the end of the corridor
there is one at the end of the corridor,thank you
thank you,you are welcome
we will notify you if necessary goodbye,goodbye
goodbye,would you like to go sightseeing tomorrow
would you like to go sightseeing tomorrow,not a bad idea
not a bad idea,what would you like to see in beijing
ok i will pick you up here tomorrow,you re home late today david how was school
you re home late today david how was school,not bad there s a new english teacher
not bad there s a new english teacher,oh what s she like
oh what s she like,she is beautiful
she is beautiful,is she old or young
is she old or young,she is quite young and her hair is blond
she is quite young and her hair is blond,is she strict
is she strict,not really her eyes are blue
not really her eyes are blue,can she speak chinese
can she speak chinese,not much she is very tall and slim
not much she is very tall and slim,david stop dreaming it s time to do your homework
david stop dreaming it s time to do your homework,can i take this bus to city center
can i take this bus to city center,can you tell me the exact place
can you tell me the exact place,the empire hotel
well i think i will wait,good afternoon madam may i help you
good afternoon madam may i help you,do you have some new perfume
that is all right,here you are
here you are,can i open it
can i open it,yes certainly madam
yes certainly madam,it smells sweet
really how much is it,dollars madam
dollars madam,ok i will take two bottles
ok i will take two bottles,thank you do you need something else
thank you do you need something else,no thanks
will you look at this form,are you having problems with it
are you having problems with it,i do not understand some things
i do not understand some things,let me help you
let me help you,what does mi mean
what does mi mean,mi stands for middle initial
mi stands for middle initial,what does mm dd yy mean
what does mm dd yy mean,that means month day year use numbers
that means month day year use numbers,i do not understand
i do not understand,for example if your birth date is january write
for example if your birth date is january write,oh that is simple enough
oh that is simple enough,always print clearly and fill in the bubbles completely
always print clearly and fill in the bubbles completely,how much is the video camera
how much is the video camera,it s sony made in japan
is breakfast served here,yes that s from to in the dinning room
yes that s from to in the dinning room,do i have to pay extra money for it
do i have to pay extra money for it,no it s already included in your room fare
no it s already included in your room fare,thank you
thank you,good afternoon sir would you like a tea
good afternoon sir would you like a tea,i would rather have a cup of coffee
yes please milk and two sugar,mom i hate eating vegetables
thanks mom,we are sorry but we cannot allow your claim
we are sorry but we cannot allow your claim,why not
why not,the material was not damaged by us
the material was not damaged by us,we will have to talk this over some more
we will have to talk this over some more,hello can i help you
ok can i have your name please,lily smith
lily smith,and your telephone number
and your telephone number,hong kong side
hong kong side,ok right then
ok right then,thank you
thank you,why do you stop me
why do you stop me,you have gone against the traffic rules
you have gone against the traffic rules,i am sorry
i am sorry,do you know this is a onaway street
do you know this is a onaway street,i do not know
i do not know,you have to pay a fine
you have to pay a fine,good evening ma am may i help you
good evening ma am may i help you,yes i would like to use a safety deposit box
yes i would like to use a safety deposit box,will the object fit into this size of box
will the object fit into this size of box,let me see i think it s ok
let me see i think it s ok,could you fill out this form please ma am
could you fill out this form please ma am,here you are
yes,this way please your box number is
this way please your box number is,thank you
i see thank you,where are you going
where are you going,i have to go to work
i have to go to work,going to work where
going to work where,i m working at the polling place
i m working at the polling place,i didn t know you were working there this year
i didn t know you were working there this year,i work at the polling place every year
i work at the polling place every year,how did you get that job
how did you get that job,i signed up for it online
i signed up for it online,that s really cool
that s really cool,it s a very cool job
it s a very cool job,do they pay you a lot
do they pay you a lot,they pay well enough
they pay well enough,i would like to check in pls
i would like to check in pls,awfully sorry sir there are no rooms available now
awfully sorry sir there are no rooms available now,but i ve reserved a room the day before yesterday
but i ve reserved a room the day before yesterday,sorry may i have your name
sorry may i have your name,tony bush
may i make a copy of your card,here you are
here you are,ok now could you fill out this registration form
ok now could you fill out this registration form,all right
i will,excuse me do you happen to have a gym here
sure just a minute are you an artist sir,no i am a teacher i teach art
no i am a teacher i teach art,that must be a very interesting job
thank you nice to meet you too,excuse me is this the right way to the museum
will it take me long to get there,well it s about fifteen minutes walk
well it s about fifteen minutes walk,which bus goes there
my pleasure,what kind of food do you like
what kind of food do you like,i like chinese food
i like chinese food,but your american
but your american,we have a lot of chinese restaurants in america
we have a lot of chinese restaurants in america,i have typed the report
i have typed the report,well done
well done,and i have filed the letters
and i have filed the letters,excellent job
excellent job,and i have checked the orders
and i have checked the orders,i am very impressed
i am very impressed,and i have ordered the supplies
and i have ordered the supplies,congratulations you should be very proud of yourself
yes it will,you know that for a fact
you know that for a fact,yeah i take this bus all the time
yeah i take this bus all the time,is it a very long bus ride
is it a very long bus ride,it s about thirty minutes long
it s about thirty minutes long,do you know where we get off at
do you know where we get off at,there s a bus stop right behind macy s
there s a bus stop right behind macy s,really there s a bus stop right by the mall
really there s a bus stop right by the mall,there s a bus stop in the mall parking lot
there s a bus stop in the mall parking lot,that is convenient
that is convenient,absolutely
absolutely,hi jone how are you
hi jone how are you,terrible
terrible,what is wrong
what is wrong,someone robbed my apartment last week the robber took
someone robbed my apartment last week the robber took,oh no did you call the police
oh no did you call the police,no
no,why not
do you know which stop we get off at,we still have more to go i think
we still have more to go i think,we have been on this bus for a while now
we have been on this bus for a while now,you are right
you are right,should we have gotten off the bus already
should we have gotten off the bus already,i do not think so
i do not think so,i thought you knew
i thought you knew,maybe we did miss our stop
maybe we did miss our stop,really
really,i am positive that we missed our stop
i am positive that we missed our stop,i am never catching the bus with you again
i am never catching the bus with you again,my mistake
what else i have got to do join the army,who knows that might come to later
who knows that might come to later,could i order dinner
could i order dinner,of course what would you like
so what did you get,it s all in the bag
it s all in the bag,what is this essential oil wow this stuff is expensive
how is oil supposed to make you relax,they all have essence of flowers in them
they all have essence of flowers in them,mmmm they smell nice
it s going to come together just fine trust me,where do we begin
what about listing my interests and affiliations next,yes that would make a good ending for your resume
yes that would make a good ending for your resume,what s the matter dear
yes i ll do it tomorrow,and lisa
and lisa,yes
hello do you have a place where i can exercise,yes sir we have a fine exercise facility
daddy how are you going to spend your weekends,i need to finish my research paper
i need to finish my research paper,could you go with me to climb kiang shan
could you go with me to climb kiang shan,honey i am sorry i have no time
ok i will go,that is a deal
that is a deal,sure
i will bring it up over sunday brunch,good luck with that
good luck with that,hey you have been promoted to president of the department
i just did what i should have done,you ve got a great personality
thanks for saying so,may i speak to mr smith
may i speak to mr smith,he is at the warehouse this morning
he is at the warehouse this morning,what time do you expect him back
ok i will keep my promise,hi buddy how do you deal with your salary
i can ask for some advice from him,hello helen
hello helen,hi steven
hi steven,how are you today
how are you today,i m very well thank you and you
i m very well thank you and you,i m fine thanks how is tony
i m fine thanks how is tony,he s fine thanks how s emma
not at all please sit down then we can begin,thank you
i would like to reserve a room,which date would that be
which date would that be,for the night of april th for one night
all right could i have it gift wrapped please,yes just a moment please
yes just a moment please,why do you want to be a stewardess
could you handle flying for hours straight,yes i can adjust to anything
yes i can adjust to anything,that is good
sorry just a moment the name is caxton,no it s caxton
no it s caxton,fine i have got that and your company is
fine i have got that and your company is,rosedale investments
rosedale investments,could you spell that please
could you spell that please,it s r o s e d a l e
it s r o s e d a l e,thank you and the message
thank you and the message,it s about an invoice which is wrong
it s about an invoice which is wrong,have you got the number there
have you got the number there,um yes it s ros
um yes it s ros,
,that is right
no is my last word,come on let s split the difference
come on let s split the difference,who s in charge of the construction project
of course sir you have made a good choice,i will talk to you later
i will talk to you later,what is the rush
what is the rush,i have to get off the phone now
there are other things i need to take care of,what is it that you need to do
what is it that you need to do,please do not be nosey
please do not be nosey,i am not being nosey it s just a question
i am not being nosey it s just a question,you do not need to worry about that
you do not need to worry about that,that was mean to say
that was mean to say,i am very sorry but i must go
i am very sorry but i must go,i guess
other company rules also need your attention,like this one
like this one,never wear loose clothes or hair when operating the shredder
never wear loose clothes or hair when operating the shredder,yeah thank you for telling me
yeah thank you for telling me,don t mention it
don t mention it,will you be checking in any baggage today
will you be checking in any baggage today,yes i have two large suitcases and one box
you are allowed an additional two carry on items,good i have my backpack and my camera tripod
oh i see i will call the manager then,i can not finish this steak
i can not finish this steak,that is all right
be careful the cartridge can be very hot,good morning sir do you have a reservation
good morning sir do you have a reservation,yes my name is charles
yes my name is charles,i see we have a window table reserved for you
i see we have a window table reserved for you,it s very kind of you
she might like a laptop computer,yes that sounds like a good idea
yes that sounds like a good idea,might i suggest a mac
might i suggest a mac,okay how much
okay how much,well a inch pro is
well a inch pro is,oh that sounds great i will take it
oh that sounds great i will take it,great how would you like to pay for it
great how would you like to pay for it,here s my visa
here s my visa,let me ring you up okay sign here please
let me ring you up okay sign here please,everything i need is in this box
thank you for your help,so long thank you for shopping here
so long thank you for shopping here,excuse me are cameras allowed here
i am not sure i can not agree dan,why not
surely there are other ways to save money,what are you talking about we have tried everything
what are you talking about we have tried everything,is there anything i can do
is there anything i can do,yes i am thinking of a tour to australia
that is really cheap what are the fees included,everything sir including the air tickets accommodation and gate tickets
everything sir including the air tickets accommodation and gate tickets,ok i will take the tour
ok i will take the tour,could i speak to the apartment manager
could i speak to the apartment manager,i am the apartment manager how can i help you
yes i want to see it,how about today at p m
how about today at p m,that time is okay with me
that time is okay with me,very good we will meet at do you need directions
hello,hi lucy are you free to talk
ok i got it,hello what can we do for you today
get up it s time for you to get ready,let me just get five more minutes of sleep
trust me i am going to wake up,you have a lot to get done this morning
i really appreciate that,how many rooms are you looking for
my mascara s waterproof,oh how high class so you just wear it forever
oh how high class so you just wear it forever,no there s makeup remover for waterproof mascara
no there s makeup remover for waterproof mascara,is it dry yet
is it dry yet,yep see how long and curly my lashes are
yep see how long and curly my lashes are,they look fake
they look fake,thanks
really,definitely i am calling to tell you this
definitely i am calling to tell you this,why did not she call me
why did not she call me,she tried but the line is always busy
of course it s,thanks so how are things with you
thanks so how are things with you,pretty good i have just bought a new house
pretty good i have just bought a new house,wow great where
okay do not forget to call susan,do not worry bye
do not worry bye,are you okay
are you okay,no
no,what is wrong
what is wrong,i got robbed
i got robbed,by who
by who,some guy on the street just mugged me
some guy on the street just mugged me,are you hurt
are you hurt,no he just stole all of my things
no he just stole all of my things,that is crazy
that is crazy,i need to go to the police station
i need to go to the police station,do you want me to take you
do you want me to take you,that would be great thank you
that would be great thank you,repairman may i come in
repairman may i come in,come in please
come in please,what is the matter sir
what is the matter sir,the toilet does not flush
wonderfull thanks a lot,you are welcome
you are welcome,come in young man
of course here you are sir,call me mr smith
call me mr smith,certainly it would be my pleasure mr smith
certainly it would be my pleasure mr smith,mom how can i help with the washing up
mom how can i help with the washing up,you peel the onions and wash them then chop them
you peel the onions and wash them then chop them,ok then what can i do after i finish it
ok then what can i do after i finish it,let me see wash the cabbage over there
let me see wash the cabbage over there,ok got it
ok got it,what is your father doing now
what is your father doing now,reading newspaper on the couch
reading newspaper on the couch,how about daniel
be careful of the peeler do not cut your fingers,i will
ok,how do you like your work
in that case let me tell you about some alternatives,anything to get me up and running
anything to get me up and running,for starters we have a computer lab
for starters we have a computer lab,fantastic what do i have to pay per hour
i am not sure is this our stop,yeah get off the bus
yeah get off the bus,do you have any idea where we are
do you have any idea where we are,i am really not sure
i am really not sure,this can not be the right stop
this can not be the right stop,i do not think this is right
i do not think this is right,we got off too early did not we
we got off too early did not we,yeah we did get off too early
yeah we did get off too early,i should have just stayed on the bus
i should have just stayed on the bus,i messed up
i messed up,great we have to walk now
great we have to walk now,you want to wait for the next bus
all right we will come right away,after a while where is the patient
after a while where is the patient,he is there in the room he is very ill
may i send food for him,no outside food is not permitted
no outside food is not permitted,can i come round to see him tomorrow
yes thank you,by the way you can bring some flowers
by the way you can bring some flowers,ok
ok,do not worry about him
do not worry about him,when could i take care of him
when could i take care of him,our nurse can take good care of him
our nurse can take good care of him,good afternoon can i help you
thanks who much would that come to,let me see
yes we do they are on the wall behind you,how much do they cost
we have got plenty to choose from here,they look delicious i think she will be pleased
here we are withdrawal so i just press here,yes then enter the amount you want
are there many accidents in the city every day,not really but they are on the rise
can you tell me the calling number please,sure
sure,thank you
thank you,you re welcome
you re welcome,was there an accident on the freeway today
was there an accident on the freeway today,you have not heard about it
you have not heard about it,no do not you know what happened
no do not you know what happened,this truck flipped over on the
this truck flipped over on the,are you serious
are you serious,i am telling you the truth
i am telling you the truth,did anyone get hurt
did anyone get hurt,two people were injured
two people were injured,are they going to be okay
are they going to be okay,i think so
i think so,well that is a miracle that no one was killed
well that is a miracle that no one was killed,yes they were lucky
good afternoon may i help you,yes i would like to rent a car
yes i would like to rent a car,what kind of car do you have in mind
what kind of car do you have in mind,an automatic sedan
an automatic sedan,i see how long will you need it
i see how long will you need it,about a week
about a week,just a moment please
just a moment please,hello do you know anywhere that sells cheap cashmere sweaters
hello do you know anywhere that sells cheap cashmere sweaters,outlets have cheap cashmere sweaters
outlets have cheap cashmere sweaters,what a splendid idea
what a splendid idea,outlets usually give you great deals
outlets usually give you great deals,thanks for helping me
thanks for helping me,you are welcome
you are welcome,would you like to learn to tango donar
would you like to learn to tango donar,right now
i think i will be a little afraid,of what
of what,afraid of making a mistake
what should i get uncle teddy,you could get him a tie
a tie,oh shut up about ties forget about ties why not
oh shut up about ties forget about ties why not,i was just kidding
of course sir here s the minutes of the meeting,how long did the meeting last
i am sorry he is not in right now,when is he coming back
i will call again in thirty minutes,what a mess jack
what a mess jack,i m playing with my toys dad
hello are you interested in this honda,hi i am just looking
hi i am just looking,it s a good car
it s a good car,what year is it
what year is it,
,how about the mileage
how about the mileage,miles all highway mileage
miles all highway mileage,what do you mean b
oh why such a high mileage,the owner was commuting everyday crossing the state line
the owner was commuting everyday crossing the state line,okay does this car have a warranty
okay does this car have a warranty,one month
how much is it,
,i will have to think about it
okay,it s very nice of you to invite me
mr liu would you care for another helping,no more thank you i am quite full
no more thank you i am quite full,did you enjoy the meal
i am so glad you like it,thank you very much for your hospitality
excuse me could you lend me some of your records,until when
no problem,may i help you
that would be perfect thank you,have you always been on this site
i want to open an account,what kind of account do you want to open
what kind of account do you want to open,i want to open a checking account
how much is that,you have to maintain a minimum balance of
you have to maintain a minimum balance of,really
yes really,what if i can t meet that requirement
what if i can t meet that requirement,you will be fined
you will be fined,how much is the fine
how much is the fine,it s going to cost you
it s going to cost you,i am so hungry can you buy me a burrito
please i have not eaten anything all day,look i only have money to buy myself a burrito
look i only have money to buy myself a burrito,i am so hungry i could eat a whole cow
well i guess on friday then you can eat,that is pretty messed up
that is pretty messed up,why do not you just go home and eat
well i guess you are out of luck,good coming room service what can i do for you
thank you,can i get you something to drink
stirred or shaken,stirred will be fine
stirred will be fine,here you are
here you are,thanks does the bar have a signature drink
it sounds interesting i will take one,here we go
here we go,it tastes great
it tastes great,enjoy yourself
enjoy yourself,yeah
sure what is your room number sir,it s here is my key card
it s here is my key card,a minute please it s yuan all together tax included
a minute please it s yuan all together tax included,can i pay with traveler s check
can i pay with traveler s check,sure can i have your passport please
sure can i have your passport please,here you are
very useful advice i will try them right now,this suit looks nice can i try it on
this suit looks nice can i try it on,yes of course the dressing room is over there
yes of course the dressing room is over there,how was your day
how was your day,let s start with you how was yours
let s get back to you how was your day,it was horrible it was just one thing after another
it was horrible it was just one thing after another,you look pretty upset are you ok
you look pretty upset are you ok,i m fine but i have bad news
i m fine but i have bad news,what s that
what s that,i got sacked today
i got sacked today,you re kidding how did that happen
how late were you,only about minutes
only about minutes,you got fired for being a few minutes late
i have an issue,what s going on
what s going on,there is a leaking pipe in my wall
there is a leaking pipe in my wall,is there any water damage
is there any water damage,there is mildew
why can t i call someone to fix it today,i ll just do it myself
i ll just do it myself,i need it done today
i need it done today,you re right about that
you re right about that,are you okay with me calling a plumber
are you okay with me calling a plumber,that s fine
that s fine,i will have to go now
i will have to go now,drop in if you are free bye for now
drop in if you are free bye for now,see you
see you,excuse me i do not feel good right now
excuse me i do not feel good right now,what can i do for you
what can i do for you,do you have any pills for airsickness
do you have any pills for airsickness,here you are take one at a time
here you are take one at a time,please fetch me a glass of water thanks
please fetch me a glass of water thanks,you are welcome
you are welcome,what is wrong
i like this shirt how much is it,
,wow that is sheer robbery shall i make an offer
wow that is sheer robbery shall i make an offer,i am sorry sir the price is fixed
i am sorry sir the price is fixed,good morning your ticket and passport please
good morning your ticket and passport please,here you are
here you are,do you have any baggage to check in
do you have any baggage to check in,yes one box
yes one box,would you please put it on the scale
i see thank you very much for your information,you are welcome your boarding pass and baggage check please
you are welcome your boarding pass and baggage check please,goodbye
goodbye,could you do me a favor
could you do me a favor,it depends
it depends,is that room service
is that room service,yes what can i do for you
i am sorry sir we will send someone immediately,tell me something about yourself and your past
until we meet again,what are you doing to your house
what are you doing to your house,we are redecorating our living room
we are redecorating our living room,what are you going to do to it
what colour are you going to paint them,pale yellow
pale yellow,what else are you going to do
what else are you going to do,we are going to put in some new furniture
you are welcome,do you really like this straw hat dear
do you really like this straw hat dear,yes of course i will take it
yes of course i will take it,but it costs an arm and leg
but it costs an arm and leg,i like it
i will thank you,let s decide what to order
let s decide what to order,i will have a hamburger
i will have a hamburger,the works
the works,no just tomatoes please and large fries
no just tomatoes please and large fries,anything to drink
anything to drink,a small cola
apple pie is my favorite dessert,i would like to have an ice cream
i would like to have an ice cream,would you please teach me how to use the computer
would you please teach me how to use the computer,sure let s take a look at the menu first
sure let s take a look at the menu first,do i have to turn on the computer
how far is it from the wort street,just walk for a few minutes you will find it
just walk for a few minutes you will find it,thank you very much
thank you very much,have you had a chance to look over the contract
have you had a chance to look over the contract,yes i have read it carefully
yes i have read it carefully,and do you have any questions
i can accept that,good and your benefits will begin immediately
good and your benefits will begin immediately,even my health insurance
i have a few questions about the free membership,what would you like to know
how much is it,yuan
yuan,ok that is reasonable i will take it
ok that is reasonable i will take it,hi i am looking for a woman named mia
lunch sounds great let s head on out,excuse me how do i get to the forbidden city
is it far,no it should only take you about minutes by foot
no it should only take you about minutes by foot,thank you
thank you,you are going to have coffee are not you
you are going to have coffee are not you,yes i could use a cup of coffee
yes i could use a cup of coffee,are you going to have anything to eat
are you going to have anything to eat,french toast sounds good what are you going to order
french toast sounds good what are you going to order,i will have that too
here s an interesting ad,how much is the rent
how much is the rent,the ad says plus deposit
the ad says plus deposit,when is the place available
at the close of escrow the house will be yours,i want a doggy bag waiter
i want a doggy bag waiter,sure how do you like your meal today
i am glad you like it welcome next time,hello impf bank how can i help you
hello impf bank how can i help you,i need to report a missing bank card and book
ok it s,excuse me could i ask a favour
excuse me could i ask a favour,sure go ahead
sure go ahead,could you tell me where the canteen is
could you tell me where the canteen is,sure i can take you there actually
sure i can take you there actually,oh i do not want to trouble you
oh i do not want to trouble you,it s fine i was heading there anyway
it s fine i was heading there anyway,do you take in students
how much is it,a week
can i take your order sir,i ll have the kung pao chicken please
just some fried rice please,ok would you like some soup as well
ok would you like some soup as well,no thanks
no thanks,thank you very much your food will be ready soon
thank you very much your food will be ready soon,hello can i help you ma am
,why do not you send it by mail payment order
why do not you send it by mail payment order,how long does it take
how long does it take,about a week
about a week,i do not know can i send it more quickly
i do not know can i send it more quickly,sure you can have a telegraphic or a swift transfer
sure you can have a telegraphic or a swift transfer,and how long do those take
i see how can i pay by telegraphic transfer,you have to fill out this form ma am
is it gonna hurt,no not at all just lay back and relax
no not at all just lay back and relax,ok spit
good evening sir welcome to our restaurant,thank you
thank you,do you have a reservation
do you have a reservation,yes i do
yes i do,may i have your name please
may i have your name please,yes it s mr brown
oh this is just fine,please take a seat
please take a seat,thank you
thank you,here is the menu
here is the menu,nice to meet you
nice to meet you,nice to meet you too
nice to meet you too,you are a graduate right
you are a graduate right,i recently graduated from college as an english major
i recently graduated from college as an english major,so you do not have much related work experience
i see,your approval would be my honor
ok let s go then,do you have any money
do you have any money,for what
then you will have to think of something better robert,hello what can i do for you
hello what can i do for you,hello i am here to get my salary
no problem,and how much of your salary would you like
and how much of your salary would you like,i think just rib will be enough
what can i do for you,can i have a look at your handworks
can i have a look at your handworks,all right this way please
all right this way please,you have quite a range have not you
you have quite a range have not you,yes sir
yes sir,they are all produced in china are not they
they are all produced in china are not they,yes they are all distinctive chinese
yes they are all distinctive chinese,could you please select me one
could you please select me one,how do you like this one it s very beautiful
yuan,ok i will take it
ok i will take it,rachel this is john emory speaking
rachel this is john emory speaking,yes mr emory
forest restaurant what can i do for you,may i make a reservation
may i make a reservation,of course at what time
of course at what time,the four of us will be there at this evening
the four of us will be there at this evening,ok sir we are looking forward to your arrival
ok sir we are looking forward to your arrival,it looks delicious i will order it
would you please make it for a single person,sorry sir we have never done that before
may i have your name and room number,i am molopo and my room is
thank you,thank you very much i hope you enjoy your stay
is this about the sales assistant position,that is right my appointment is for o clock
thank you,can i get you something coffee tea
can i get you something coffee tea,no i am fine thank you
no i am fine thank you,what is going on
what is going on,nothing really how about you
nothing really how about you,a lot like the party i am having on friday
a lot like the party i am having on friday,well that is cool
well that is cool,will you be able to make it
will you be able to make it,i am busy this friday i am sorry
i am busy this friday i am sorry,what do you have to do
what do you have to do,i am having dinner with my family
i am having dinner with my family,maybe you can come next time
maybe you can come next time,i will make sure and come to your next party
i will make sure and come to your next party,i will look for you at my next party
i will look for you at my next party,i will be there
i will be there,do you have anything to wash
do you have anything to wash,yes here you are
yes here you are,ok they will be ready by
ok they will be ready by,by the way please have these suits pressed
oh ok where do i get off,you should get off at the first shi da stop
you should get off at the first shi da stop,ok thanks
ok thanks,you are new at this huh
you are new at this huh,no is it difficult
how much does it cost,only nt per section oh look that is your bus
only nt per section oh look that is your bus,wow i can not thank you enough
wow i can not thank you enough,do not mention it
do not mention it,is there a bookstore near here
is there a bookstore near here,yes it s straight ahead around the corner
yes it s straight ahead around the corner,thank you very much
yes i can see it but what is on it,it says keep off the grass
be careful you can not smoke here,why not
may i help you,yes i would like to check in
yes i would like to check in,do you have a reservation
his name is lin l i n,i am sorry i have nothing here
i am sorry i have nothing here,miss i know he made this reservation for me
miss i know he made this reservation for me,how is your appetite today
how is your appetite today,i am rather hungry now
i am rather hungry now,what would you like to have
what would you like to have,please give me a piece of pie first
please give me a piece of pie first,which would you rather have beef or chicken
which would you rather have beef or chicken,beef please
beef please,how about drinks coffee or tea
how about drinks coffee or tea,coffee please
coffee please,do you want to take milk and sugar
do you want to take milk and sugar,only black coffee
oh this is paul when will he be back,he will be back at about seven o clock
he will be back at about seven o clock,can i leave a message please
can i leave a message please,yes certainly
all right i will tell him when he comes back,thank you very much
thank you very much,can i help you
altogether,would you mind showing me your passport
would you mind showing me your passport,here it is and how much rib shall i get
that is correct thank you very much,give me enough for a skirt will you
give me enough for a skirt will you,here you are it s yuan miss
here you are it s yuan miss,can you give me a discount
no thanks not today,i will just have this all wrapped up for you
i will just have this all wrapped up for you,what do you charge for the sports shoes
what do you charge for the sports shoes,
may i help you,have you any package tour to italy
how long does the route no last,weeks is that ok
weeks is that ok,we have just days for the vacation
we have just days for the vacation,can i help you sir
can i help you sir,i wish to buy a diamond ring
i wish to buy a diamond ring,how many carats would you like it to be
how many carats would you like it to be,i want five carats
i want five carats,is this one suitable for you
is this one suitable for you,no it seems too old fashioned to my fiancee
no it seems too old fashioned to my fiancee,what about this
oh this one is perfect,do you give me a bonus
hello this is united airlines,hello i want confirm my flight my name is jesse
hello i want confirm my flight my name is jesse,when is your flight
when is your flight,june loth
june loth,one first class seat on flight yw is that right
hello have you made a reservation,no are there any vacant beds for us
no are there any vacant beds for us,of course how do you like your room
of course how do you like your room,just an ordinary one six people living in a room
just an ordinary one six people living in a room,ok how long are you staying
ok how long are you staying,days
days,how many do you intend to order for our shirts
sure we can reduce our price by ten percent,that is great
i am sorry sir exactly what is the problem,i am knee deep in cockroaches
they think you are just a child,but the child has his own feeling
but the child has his own feeling,maybe you are right well you can talk with them
maybe you are right well you can talk with them,i believe you ordered the grand slam breakfast
i can just trade with him thank you,and pancakes for you sir
and pancakes for you sir,i am sorry but i think i ordered waffles
i am sorry but i think i ordered waffles,i am sorry that i misheard you
i will get straight back to you with your waffles,i would appreciate that
i would appreciate that,hi sir what can i do for you
the train is driving after ten minutes,thanks where is my seat
thanks where is my seat,it s over there have a good trip
it s over there have a good trip,thank you
thank you,are you looking for an apartment
i think i have just a right apartment for you,oh good can you describe it
so is there a refrigerator,yes it s brand new
yes it s brand new,it sounds great how much is the rent
it sounds great how much is the rent,it s a month
it s a month,when can i see it
ok that would be great,good afternoon how can i help
good morning doctor,good morning miss mandy how are you today
have you got a sore throat too,no but i have got a headache
sure tracy let me just get my laptop,okay so to whom it may concern i am writing
oh melanie you are a life saver thank you,bruno s
no problem wish you a nice trip,have you anything to declare
have you anything to declare,one bottle of perfume and a watch
one bottle of perfume and a watch,where did you buy it
where did you buy it,in boston
in boston,do you travel a lot
yes i did i had a fine time,good morning and welcome how can i help you
i expect to work hard madam,do you mind going on frequent business traps
do you mind going on frequent business traps,no i enjoy travelling
surely of course here you are,is flight zw a direct one
i am looking for a pan,no problem what size would you like
no problem what size would you like,a big one would be nice
a big one would be nice,how about this one it s our biggest in diameter
yes that is perfect i will take it,great will that be cash or charge
do you rent cameras here,of course which one do you like best
of course which one do you like best,i want one that is easy to handle
ok anything else,yeah try not to kick or hit the computer
yeah try not to kick or hit the computer,um yeah sorry about that
i have lost about five kilos,how did you do it
how did you do it,i was on a diet and exercised daily
i was on a diet and exercised daily,i hate working out
the secret is persistence,let s see now cut the potatoes into small cubes
on the bottom shelf in the cupboard under the sink,what is donna like by the way
oh paul is very easy going and friendly,could you get me the pepper from the cupboard
could you get me the pepper from the cupboard,yes sure which cupboard is it in
yes sure which cupboard is it in,it s in the small one beside the cooker
it s in the small one beside the cooker,there is no pepper here
there is no pepper here,oh there is not oh no
yes go straight along beijing road and turn right,straight on and turn right is it far
straight on and turn right is it far,no it s just a couple of minutes
no it s just a couple of minutes,thanks very much
thanks very much,you are welcome
you are welcome,hello is becky there please
thanks,sorry becky can t come to the phone right now
sorry becky can t come to the phone right now,that s okay i ll call back later
that s okay i ll call back later,good afternoon may i help you
do you have a valid license,yeah here
good morning sir may i help you,good morning i would like to pay my bill
good morning i would like to pay my bill,ok in cash or by credit
ok in cash or by credit,in cash how much is the total charge
in cash how much is the total charge,five hundred and thirty yuan altogether including charges for service
five hundred and thirty yuan altogether including charges for service,here you are thanks for your wonderful service
here you are thanks for your wonderful service,not at all welcome again
not at all welcome again,have you heard the news
have you heard the news,i have not heard anything
i have not heard anything,deborah had her baby last week
deborah had her baby last week,nobody told me
nobody told me,i thought you heard
i thought you heard,i really was not told anything
i really was not told anything,she was a cute pounds ounces
she was a cute pounds ounces,wow how exciting
of course i will,i just wanted to let you know what happened
i just wanted to let you know what happened,i appreciate that
oh no i can not have failed are you sure,i am afraid so i am terribly sorry
come on plenty of room upstairs fares please,one to the beach how much is it
one to the beach how much is it,one dollar i am short of change this morning
one dollar i am short of change this morning,sorry i can wait a moment
sorry i can wait a moment,good here s your ticket and four dollars change
good here s your ticket and four dollars change,thank you
thank you,can you recognize that woman millie
i thought so who s that beside her,that must be conrad reeves
no he must be her fourth or fifth,doesn t karen marsh look old
shall we buy,it really depends on you
it really depends on you,but if you were me
but if you were me,if i were you i would buy
thanks a lot good bye,excuse me which one is of the highest quality here
but it is really worthwhile,ok anyway let me have it
ok anyway let me have it,here you are
here you are,thank you
thank you,it s time for you to wake up
i am going to be on time today,go back to sleep then but only five more minutes
go back to sleep then but only five more minutes,thanks a lot
this job pays sixty five thousand dollars per year,what kind of benefits does this job have
what kind of benefits does this job have,this job provides full medical dental and disability
this job provides full medical dental and disability,what type of vacation time do we get
i do wish i could lose weight,well why do not you go on a diet
well why do not you go on a diet,i have tried diets before but they have never worked
yes maybe i should,do you have a reservation sir
do you have a reservation sir,no i am afraid we do not
